chord,rootnote,octave,notes,midi_numbers,formula
maj,C,1,"C, E, G","12, 16, 19","0, 4, 7"
min,C,1,"C, D#, G","12, 15, 19","0, 3, 7"
7,C,1,"C, E, G, A#","12, 16, 19, 22","0, 4, 7, 10"
maj7,C,1,"C, E, G, B","12, 16, 19, 23","0, 4, 7, 11"
min7,C,1,"C, D#, G, A#","12, 15, 19, 22","0, 3, 7, 10"
minmaj7,C,1,"C, D#, G, B","12, 15, 19, 23","0, 3, 7, 11"
dim,C,1,"C, D#, F#","12, 15, 18","0, 3, 6"
aug,C,1,"C, E, G#","12, 16, 20","0, 4, 8"
aug(b7),C,1,"C, E, G#, B","12, 16, 20, 23","0, 4, 8, 11"
sus2,C,1,"C, D, G","12, 14, 19","0, 2, 7"
sus4,C,1,"C, F, G","12, 17, 19","0, 5, 7"
#4,C,1,"C, F#, G","12, 18, 19","0, 6, 7"
9,C,1,"C, E, G, A#, D","12, 16, 19, 22, 26","0, 4, 7, 10, 14"
11,C,1,"C, E, G, A#, D, F","12, 16, 19, 22, 26, 29","0, 4, 7, 10, 14, 17"
13,C,1,"C, E, G, A#, D, F, A","12, 16, 19, 22, 26, 29, 33","0, 4, 7, 10, 14, 17, 21"
min9,C,1,"C, D#, G, A#, D","12, 15, 19, 22, 26","0, 3, 7, 10, 14"
min11,C,1,"C, D#, G, A#, D, F","12, 15, 19, 22, 26, 29","0, 3, 7, 10, 14, 17"
min13,C,1,"C, D#, G, A#, D, F, A","12, 15, 19, 22, 26, 29, 33","0, 3, 7, 10, 14, 17, 21"
maj6,C,1,"C, E, G, A","12, 16, 19, 21","0, 4, 7, 9"
b6,C,1,"C, E, G, G#","12, 16, 19, 20","0, 4, 7, 8"
b3,C,1,"C, D, E, G","12, 14, 16, 19","0, 2, 4, 7"
#9,C,1,"C, E, G, D#","12, 16, 19, 27","0, 4, 7, 15"
dim7,C,1,"C, D#, F#, A","12, 15, 18, 21","0, 3, 6, 9"
min6,C,1,"C, D#, G, A","12, 15, 19, 21","0, 3, 7, 9"
maj9,C,1,"C, E, G, B, D","12, 16, 19, 23, 26","0, 4, 7, 11, 14"
7sus2,C,1,"C, D, G, A#","12, 14, 19, 22","0, 2, 7, 10"
7sus4,C,1,"C, F, G, A#","12, 17, 19, 22","0, 5, 7, 10"
7b5,C,1,"C, E, F#, A#","12, 16, 18, 22","0, 4, 6, 10"
7#5,C,1,"C, E, G#, A#","12, 16, 20, 22","0, 4, 8, 10"
7b9,C,1,"C, E, G, A#, C#","12, 16, 19, 22, 25","0, 4, 7, 10, 13"
7#9,C,1,"C, E, G, A#, D#","12, 16, 19, 22, 27","0, 4, 7, 10, 15"
